Year,Model,Battery Capacity (kWh)
2013,Model S,80.8
2014,Model S,80.8
2015,Model S,82.2
2016,Model S,79.4
2016,Model X,80.3
2017,Model S,82.5
2017,Model X,83.8
2018,Model S,90.5
2018,Model X,88.2
2019,Model 3,56.8
2019,Model S,92.8
2019,Model X,95.0
2020,Model 3,56.8
2020,Model S,98.0
2020,Model X,98.0
2021,Model 3,62.5
2021,Model S,98.0
2021,Model X,98.0
2021,Model Y,72.3
2022,Model 3,63.6
2022,Model S,98.0
2022,Model X,98.0
2022,Model Y,71.5
2023,Model 3,63.6
2023,Model S,98.0
2023,Model X,98.0
2023,Model Y,70.4
2024,Model 3,64.5
2024,Model S,98.0
2024,Model X,98.0
2024,Model Y,69.3
2025,Model 3,65.4
2025,Model Y,69.8
